FID,OBJECTID,Location,State,Water_Cont,Material,Damae_Int2,Economic,District,ID,Fail_Type,Date,Distri_,Death_,Settlemet_,Dam_Int1,Area,Triggers_,aug_trigger_class,aug_trigger_confidence,aug_severity_class,aug_exposure_context,aug_uncertainty_label,aug_missing_fields_count,aug_missing_fields,aug_failure_process_narrative,aug_planning_summary
91,92,Pahartali,Suspended, ,Soil,Nil,Low,Cox's Bazar,92,Slide,15/06/2010,Advancing,0,1,Low,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Slide process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
92,93,Pahartali,Suspended, ,Soil,Nil,Low,Cox's Bazar,93,Slide,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Anthropogenic slope modification,Low uncertainty,1,Water_Cont,Slide process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
93,94,Bahar Chara,Suspended, ,Soil,Nil,Low,Cox's Bazar,94,Slide,15/06/2010,Advancing,0,1,Low,-,Rainfall,Rainfall,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Slide process involving soil under unrecorded moisture condition with rainfall as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
94,95,Bahar Chara,Suspended, ,Soil,Nil,Low,Cox's Bazar,95,Slide,15/06/2010,Advancing,0,0,Nil,-,Rainfall,Rainfall,High,Moderate,Named local slope or terrain unit,Low uncertainty,1,Water_Cont,Slide process involving soil under unrecorded moisture condition with rainfall as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
95,96,Bahar Chara,Suspended, ,Soil,Nil,Low,Cox's Bazar,96,Flow,15/06/2010,Advancing,0,0,Nil,-,Rainfall,Rainfall,High,Moderate,Named local slope or terrain unit,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
96,97,Bahar Chara,Suspended, ,Soil,Nil,Low,Cox's Bazar,97,Slide,15/06/2010,Advancing,0,0,Nil,-,Rainfall,Rainfall,High,Moderate,Named local slope or terrain unit,Low uncertainty,1,Water_Cont,Slide process involving soil under unrecorded moisture condition with rainfall as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
97,98,"Marine Drive, Cox's Bazar",Suspended, ,Soil,High,High,Cox's Bazar,98,Slide,15/06/2010, ,0,0,Nil,-,Rainfall,Rainfall,High,High,Road or transport corridor,Low uncertainty,2,"Water_Cont, Distri_",Slide process involving soil under unrecorded moisture condition with rainfall as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
98,99,"Marine Drive, Cox's Bazar",Inactive, ,Soil,High,High,Cox's Bazar,99,Slide,15/06/2010, ,5,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Road or transport corridor,Low uncertainty,2,"Water_Cont, Distri_",Slide process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
99,100,"Marine Drive, Cox's Bazar",Inactive, ,Soil,High,High,Cox's Bazar,100,Unrecognized,15/06/2010, ,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Road or transport corridor,Low uncertainty,2,"Water_Cont, Distri_",Unrecognized process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
100,101,"Marine Drive, Cox's Bazar",Inactive, ,Soil,High,High,Cox's Bazar,101,Unrecognized,15/06/2010, ,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Road or transport corridor,Low uncertainty,2,"Water_Cont, Distri_",Unrecognized process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
101,102,"Marine Drive, Cox's Bazar",Inactive, ,Soil,High,High,Cox's Bazar,102,Unrecognized,15/06/2010, ,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Road or transport corridor,Low uncertainty,2,"Water_Cont, Distri_",Unrecognized process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
102,103,"Marine Drive, Cox's Bazar",Inactive, ,Soil,High,High,Cox's Bazar,103,Flow,15/06/2010, ,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Road or transport corridor,Low uncertainty,2,"Water_Cont, Distri_",Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
103,104,"Marine Drive, Cox's Bazar",Inactive, ,Soil,High,High,Cox's Bazar,104,Flow,15/06/2010, ,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Road or transport corridor,Low uncertainty,2,"Water_Cont, Distri_",Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
104,105,"Marine Drive, Cox's Bazar",Inactive, ,Soil,High,High,Cox's Bazar,105,Flow,15/06/2010, ,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Road or transport corridor,Low uncertainty,2,"Water_Cont, Distri_",Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
105,106,"Marine Drive, Cox's Bazar",Inactive, ,Soil,High,High,Cox's Bazar,106,Flow,15/06/2010, ,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Road or transport corridor,Low uncertainty,2,"Water_Cont, Distri_",Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
106,107,Kolatali,Suspended, ,Soil,Nil,Low,Cox's Bazar,107,Flow,15/06/2010,Advancing,1,1,Low,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
107,108,Kolatali,Suspended, ,Soil,Nil,Low,Cox's Bazar,108,Flow,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Anthropogenic slope modification,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
108,109,Baidder Ghona,Suspended, ,Soil,Nil,Low,Cox's Bazar,109,Flow,15/06/2010,Advancing,1,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Anthropogenic slope modification,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
109,110,Baidder Ghona,Suspended, ,Soil,Nil,Low,Cox's Bazar,110,Flow,03/07/2008,Advancing,0,1,Low,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
110,111,Baidder Ghona,Suspended, ,Soil,Nil,Low,Cox's Bazar,111,Flow,04/06/2006,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Anthropogenic slope modification,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
111,112,Baidder Ghona,Suspended, ,Soil,Nil,Low,Cox's Bazar,112,Flow,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Anthropogenic slope modification,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
112,113,"Urumchara, Puran pallan Para, Teknaf",Suspended, ,Soil,Nil,Low,Cox's Bazar,113,Flow,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
113,114,"Urumchara, Puran pallan Para, Teknaf",Suspended, ,Soil,Nil,Low,Cox's Bazar,114,Flow,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
114,115,"Urumchara, Puran pallan Para, Teknaf",Suspended, ,Soil,Nil,Low,Cox's Bazar,115,Unrecognized,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Unrecognized process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
115,116,"Urumchara, Puran pallan Para, Teknaf",Suspended, ,Soil,Nil,Low,Cox's Bazar,116,Unrecognized,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Unrecognized process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
116,117,"Urumchara, Puran pallan Para, Teknaf",Suspended, ,Soil,Nil,Low,Cox's Bazar,117,Slide,03/06/2009,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Slide process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
117,118,"Urumchara, Puran pallan Para, Teknaf",Suspended, ,Soil,Nil,Low,Cox's Bazar,118,Slide,07/06/2002,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Slide process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
118,119,"Urumchara, Puran pallan Para, Teknaf",Suspended, ,Soil,Nil,Low,Cox's Bazar,119,Unrecognized,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Unrecognized process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
119,120,"Urumchara, Puran pallan Para, Teknaf",Suspended, ,Soil,Nil,Low,Cox's Bazar,120,Unrecognized,15/06/2010,Advancing,0,0,Nil,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Unrecognized process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
120,121,"Puran pallan Para, Teknaf",Suspended, ,Soil,Nil,Low,Cox's Bazar,121,Flow,15/06/2010,Advancing,1,0,Low,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
121,122,"Puran pallan Para, Teknaf",Suspended, ,Soil,Nil,Low,Cox's Bazar,122,Flow,15/06/2010,Advancing,6,1,Low,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
122,123,"Puran pallan Para, Teknaf",Suspended, ,Soil,Nil,Low,Cox's Bazar,123,Unrecognized,15/06/2010,Advancing,4,1,Low,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Unrecognized process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed unrecognized record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
123,124,"Puran pallan Para, Teknaf",Suspended, ,Soil,Nil,Low,Cox's Bazar,124,Flow,15/06/2010,Advancing,5,1,Low,-,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Settlement or institutional exposure,Low uncertainty,1,Water_Cont,Flow process involving soil under unrecorded moisture condition with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
124,125,"Siidique Nagar, Bonorupa",Active,Wet,Soil,Low,Low,Bandarban,125,Slide,13/06/2017,Advancing,0,0,Nil,37,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Anthropogenic slope modification,Low uncertainty,0,,Slide process involving soil under wet with rainfall and hill cutting as the interpreted trigger context.,Observed slide record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
125,126,"Siidique Nagar, Bonorupa",Active,Wet,Soil,Nil,Low,Bandarban,126,Flow,13/06/2017,Advancing,2,0,Nil,51,Rainfall,Rainfall,High,High,Named local slope or terrain unit,Low uncertainty,0,,Flow process involving soil under wet with rainfall as the interpreted trigger context.,Observed flow record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
126,127,Bonorupa para Kollan Shamiti,Active,Wet,Soil,Nil,Low,Bandarban,127,Flow,13/06/2017,Advancing,0,0,Nil,13,Rainfall,Rainfall,High,Moderate,Settlement or institutional exposure,Low uncertainty,0,,Flow process involving soil under wet with rainfall as the interpreted trigger context.,Observed flow record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
127,128,Bonorupa para Kollan Shamiti,Active,Wet,Debris,Nil,Low,Bandarban,128,Flow,13/06/2017,Advancing,0,0,Nil,21,Rainfall,Rainfall,High,Moderate,Settlement or institutional exposure,Low uncertainty,0,,Flow process involving debris under wet with rainfall as the interpreted trigger context.,Observed flow record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
128,129,Bonorupa para Kollan Shamiti,Active,Wet,Soil,Nil,Low,Bandarban,129,Flow,13/06/2017,Advancing,0,1,Low,31,Rainfall,Rainfall,High,Moderate,Settlement or institutional exposure,Low uncertainty,0,,Flow process involving soil under wet with rainfall as the interpreted trigger context.,Observed flow record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
129,130,Bonorupa para Kollan Shamiti,Suspended,Dry,Soil,Nil,High,Bandarban,130,Slide,01/05/2016,Advancing,2,2,High,55,Rainfall and Hill Cutting,Rainfall and hill cutting,High,High,Settlement or institutional exposure,Low uncertainty,0,,Slide process involving soil under dry with rainfall and hill cutting as the interpreted trigger context.,Observed slide record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
130,131,"Ruma, On Road",Active,Wet,Debris,Medium,Medium,Bandarban,131,Slide,13/06/2017,Advancing,0,0,Nil,109,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Slide process involving debris under wet with rainfall as the interpreted trigger context.,Observed slide record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
131,132,"Ruma, On Road",Active,Wet,Debris,Medium,Medium,Bandarban,132,Complex,13/06/2017,Advancing,0,0,Nil,174,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Complex process involving debris under wet with rainfall as the interpreted trigger context.,Observed complex record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
132,133,"Ruma, On Road",Active,Wet,Soil,Nil,Low,Bandarban,133,Slide,13/06/2017,Advancing,0,0,Nil,79,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Slide process involving soil under wet with rainfall as the interpreted trigger context.,Observed slide record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
133,134,"Ruma, On Road",Active,Wet,Soil,Nil,Low,Bandarban,134,Complex,13/06/2017,Advancing,0,0,Nil,55,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Complex process involving soil under wet with rainfall as the interpreted trigger context.,Observed complex record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
134,135,"Ruma, On Road",Active,Wet,Soil,Nil,Low,Bandarban,135,Fall,13/06/2017,Advancing,0,0,Nil,501,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Fall process involving soil under wet with rainfall as the interpreted trigger context.,Observed fall record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
135,136,"Ruma, On road",Active,Wet,Debris,Nil,Low,Bandarban,136,Fall,13/06/2017,Advancing,0,0,Nil,45,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Fall process involving debris under wet with rainfall as the interpreted trigger context.,Observed fall record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
136,137,"Y Junction, On Road",Active,Wet,Soil,Nil,Low,Bandarban,137,Fall,13/06/2017,Advancing,0,0,Nil,274,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Fall process involving soil under wet with rainfall as the interpreted trigger context.,Observed fall record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
137,138,"Y Junction, On Road",Active,Wet,Soil,Nil,Low,Bandarban,138,Fall,13/06/2017,Advancing,0,0,Nil,89,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Fall process involving soil under wet with rainfall as the interpreted trigger context.,Observed fall record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
138,139,"Y Junction, On Road",Active,Wet,Soil,Nil,Low,Bandarban,139,Complex,13/06/2017,Advancing,0,0,Nil,1339,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Complex process involving soil under wet with rainfall as the interpreted trigger context.,Observed complex record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
139,140,"Y Junction, On Road",Active,Wet,Soil,Nil,Low,Bandarban,140,Complex,13/06/2017,Advancing,0,0,Nil,233,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Complex process involving soil under wet with rainfall as the interpreted trigger context.,Observed complex record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
140,141,"Y Junction, On Road",Active,Wet,Soil,Nil,Low,Bandarban,141,Complex,13/06/2017,Advancing,0,0,Nil,126,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Complex process involving soil under wet with rainfall as the interpreted trigger context.,Observed complex record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
141,142,"Y Junction, On Road",Active,Wet,Soil,Nil,Low,Bandarban,142,Flow,13/06/2017,Advancing,0,0,Nil,188,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Flow process involving soil under wet with rainfall as the interpreted trigger context.,Observed flow record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
142,143,"Y Junction, On Road",Active,Wet,Rock and Soil,Nil,Low,Bandarban,143,Complex,13/06/2017,Advancing,0,0,Nil,52,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Complex process involving rock and soil under wet with rainfall as the interpreted trigger context.,Observed complex record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
143,144,"Y Junction, On Road",Active,Wet,Soil,Nil,Low,Bandarban,144,Complex,13/06/2017,Advancing,0,0,Nil,125,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Complex process involving soil under wet with rainfall as the interpreted trigger context.,Observed complex record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
144,145,"Y Junction, On Road",Active,Wet,Rock and Soil,Nil,Low,Bandarban,145,Flow,13/06/2017,Advancing,0,0,Nil,1288,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Flow process involving rock and soil under wet with rainfall as the interpreted trigger context.,Observed flow record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
145,146,"Y Junction, On Road",Active,Wet,Mixture,High,High,Bandarban,146,Complex,13/06/2017,Advancing,5,0,Nil,1098,Rainfall and Road Cut,Rainfall and road cutting,High,High,Road or transport corridor,Low uncertainty,0,,Complex process involving mixture under wet with rainfall and road cutting as the interpreted trigger context.,Observed complex record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
146,147,"Hafezgona, Chimbuk Road, On Road",Active,Wet,Soil,Low,Low,Bandarban,147,Slide,13/06/2017,Advancing,0,0,Nil,128,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Slide process involving soil under wet with rainfall as the interpreted trigger context.,Observed slide record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
147,148,"Head Post Office, Chimbuk Road",Active,Wet,Soil,Low,Low,Bandarban,148,Fall,13/06/2017,Advancing,0,0,Nil,457,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Road or transport corridor,Low uncertainty,0,,Fall process involving soil under wet with rainfall and hill cutting as the interpreted trigger context.,Observed fall record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
148,149,"Head Post Office, Chimbuk Road",Active,Wet,Soil,Low,Low,Bandarban,149,Fall,13/06/2017,Advancing,0,0,Nil,536,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Road or transport corridor,Low uncertainty,0,,Fall process involving soil under wet with rainfall and hill cutting as the interpreted trigger context.,Observed fall record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
149,150,"Head Post Office, Chimbuk Road",Active,Wet,Soil,Low,Low,Bandarban,150,Slide,13/06/2017,Advancing,0,0,Nil,48,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Slide process involving soil under wet with rainfall as the interpreted trigger context.,Observed slide record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
150,151,"Hafezgona, Chimbuk Road",Active,Wet,Mixture,Low,High,Bandarban,151,Flow,13/06/2017,Advancing,0,5,High,22,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Extreme,Road or transport corridor,Low uncertainty,0,,Flow process involving mixture under wet with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
151,152,"Hafezgona, Chimbuk Road",Active,Wet,Soil,Nil,Low,Bandarban,152,Flow,13/06/2017,Advancing,0,0,Nil,58,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Flow process involving soil under wet with rainfall as the interpreted trigger context.,Observed flow record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
152,153,"Hafezgona, Chimbuk Road",Active,Wet,Debris,Nil,Low,Bandarban,153,Flow,10/07/2017,Retrogressive,0,1,Low,45,Rainfall and Hill Cutting,Rainfall and hill cutting,High,Moderate,Road or transport corridor,Low uncertainty,0,,Flow process involving debris under wet with rainfall and hill cutting as the interpreted trigger context.,Observed flow record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
153,154,"Hafezgona, Chimbuk Road",Active,Wet,Soil,Nil,Low,Bandarban,154,Complex,10/07/2017,Retrogressive,0,0,Nil,126,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Complex process involving soil under wet with rainfall as the interpreted trigger context.,Observed complex record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
154,155,"Hafezgona, Chimbuk Road, On Road",Active,Wet,Soil,Low,Low,Bandarban,155,Slide,10/07/2017,Advancing,0,0,Nil,269,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Slide process involving soil under wet with rainfall as the interpreted trigger context.,Observed slide record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
155,156,"Hafezgona, Chimbuk Road, On Road",Active,Wet,Soil,Low,Low,Bandarban,156,Flow,13/06/2017,Advancing,0,0,Nil,58,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Flow process involving soil under wet with rainfall as the interpreted trigger context.,Observed flow record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
156,157,"Hafezgona, Chimbuk Road, On Road",Active,Wet,Soil,Nil,Low,Bandarban,157,Slide,13/06/2017,Advancing,0,0,Nil,30,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Slide process involving soil under wet with rainfall as the interpreted trigger context.,Observed slide record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
157,158,"Hafezgona, Chimbuk Road, On Road",Active,Wet,Soil,Medium,Low,Bandarban,158,Slide,13/06/2017,Retrogressive,0,0,Nil,30,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Slide process involving soil under wet with rainfall as the interpreted trigger context.,Observed slide record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
158,159,"Hafezgona, Chimbuk Road, On Road",Active,Wet,Soil,Nil,Low,Bandarban,159,Slide,13/06/2017,Advancing,0,0,Nil,27,Rainfall,Rainfall,High,Moderate,Road or transport corridor,Low uncertainty,0,,Slide process involving soil under wet with rainfall as the interpreted trigger context.,Observed slide record in Bandarban; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
